@relation output_tweet_train

@attribute topicazo {twitter,google,apple,microsoft}
@attribute classs {positive,negative,neutral,irrelevant}
@attribute TweetText string

@data
twitter,negative,'stupid fucking Twitter Twitterapp give me my Damn mentions NOOWWWWWW UGH DRAWLIN AS ALWAYS TMW PROMOALLDAY FOLLOWLIMITISGAY TO'
apple,positive,'Loving my new iPhone4S thanks apple for ios5'
google,neutral,'Calling All IceCreamSandwich Lovers Google Samsung Like in Hong Kong A new look at what s new from Android http t co lfpPk5Yk'
apple,neutral,'OH Sales guy BestBuy I m not selling or using any apple products during my mourning period over Job s passing hmmm'
twitter,irrelevant,'msn quase ninguem facebook parad o geral despedindo twitter geral ralando S'
apple,negative,'apple u guys are gay'
microsoft,irrelevant,'Microsoft Technology Summit 2011 Rusza druga edycja programu Twoja firma Twoja szansa na sukces http t co 8veo83D9 microsoft'
apple,neutral,'Win an Apple iPod Touch from Mommy gaga get the Pampers Hello World Baby Memories App http t co g8Uof7uz PampersHelloApps'
microsoft,neutral,'Dear Microsoft seize the moment focus on developing Windows7 phones for enterprise solutions Succeed where RIM is failing'
google,irrelevant,'interface a voir en r el pour juger sinon ice cream sandwich est simplement monstrueux nexusprime google ICS'
twitter,neutral,'D REALRogers BE SLEEP N WHO NOEZ WHERE I BE BUT HOW IT s it U so called sleep but every 5 sec u got a new twitter post up btfu'
google,positive,'RT spacecanard Today s the Day ICS lt 3 android google samsung'
google,neutral,'Google confirms Nexus S will get Ice Cream Sandwich for real this time Gingerbread devices too http t co apLj6Tsk via engadget'
apple,positive,'Love ios5 Easter eggs Pull down from middle top to bottom and see what pulls down Awesome little feature apple lovemyiphone'
apple,positive,'you are so blessed apple'
twitter,neutral,'garbage Welcome to Twitter'
twitter,irrelevant,'TeamFollowBack TFB MustFollow MF FollowNow FN FollowFriday FF IFB Twitter Follow AmandaDGAF 16'
google,negative,'google is really confusing'
twitter,neutral,'RT MizzSpicey Now tuned in to http t co DYMDmU3z with deejaydenco WorldWide Twitter Facebook join me RT'
google,neutral,'dwtalker that s some tough competition right there http t co XP9LhjpR TechWar Google Facebook Apple Amazon'
google,positive,'GReader Share Five Reasons Why Google is Winning the War in Photosharing http t co coQCLb9R photography fotografia google'
google,irrelevant,'Samsung Galaxy Nexus Google Android ICS http t co u7ViMWl6 galaxynexus galaxynexus'
apple,neutral,'RT ajrogers Purdie Rogers tribute to SteveJobs and apple We spray painted the Macintosh Plus w http t co oMXjhZh0'
microsoft,irrelevant,'LucindaDouglas Ja mooi he Lucinda dat doet Microsoft goed Blijk van waardering en daarmee verwachtingovertreffen'
microsoft,neutral,'Microsoft excludes tablets from its holiday advertising push http t co kPslZjFC'
google,irrelevant,'RT twandroid Prise de photo quasi instantann e ouaaaaaaahhhhh google nexusprime'
twitter,irrelevant,'Pao92 ah bueno jeje ta bn ps aqui fb y twitter jeje x cierto ya no me sta siguiendo vdd ahorita vi mis seguidores y no sta'
microsoft,neutral,'Microsoft turns your body into a touchscreen http t co YE0NZy82 Microsoft'
twitter,neutral,'time to change my twitter app what s the best one for my iphone Help please twitterapps twitter vs tweetcaster vs ubersoical'
apple,neutral,'Win an Apple iPod Touch from Mommy gaga get the Pampers Hello World Baby Memories App http t co YUydxo1t PampersHelloApps'
twitter,neutral,'I just installed the new Twidroyd for Twitter on my Android Phone It s Free give it a try http t co eKh5JmGp'
microsoft,irrelevant,'Microsoft lanza OmniTouch http t co UkxNzpyQ'
twitter,irrelevant,'Sex Games http t co 5qtmLHJn JaylaStarr JCannonDSD sex Twitter video'
google,irrelevant,'RT twandroid Widgets scrollables comme sur Honeycomb google nexusprime'
microsoft,neutral,'Yahoo Profit Drops 26 Per Cent http t co 7AdG1Hss yahoo microsoft'
google,positive,'I think I should work for MelaleucaTheWellnessCompany Probably the best company to work for oh and Google'
apple,neutral,'Hey Apple need more servers for Siri traffic I m sure Google can help you out with that'
twitter,irrelevant,'twitter detik Mengaku Masih Baru di Kabinet Cicip Baru Siapkan Program Pekan Depan http t co Y3yOaRiN'
apple,neutral,'Apple I asked Siri if she swallowed she relied Lets see wtf do i do now wank over my phone'
microsoft,neutral,'Minority Report esque interface developed by Microsoft Research and Carnegie Mellon University http t co 0yqEKDzg via Digg'
twitter,neutral,'Twitter OFF GN'
microsoft,irrelevant,'RT RT EvelineHorbach Terug van evaluatie learning circles bij microsoft onder bezielend leiderschap van http t co apo4UNhb'
microsoft,irrelevant,'Blog Kroker s Look IT Der Apple Schock im PC Markt mit unerwartetem Potenzial f r Microsoft gt http t co 29vCUgQz'
twitter,irrelevant,'Ala tengo a twitter asi o mas abandonado'
google,irrelevant,'RT twandroid Possibilit de taguer les personnes google nexusprime'
google,negative,'dear google samsung learn some presentation 101 first please'
microsoft,irrelevant,'Workshop med technet idag Interessant citrix Microsoft SYSIKT'
microsoft,neutral,'Early cloud Microsoft partners will be rewarded w a Cloud Accelerate badge additional internal use rights http t co pjkyf0gf'
apple,neutral,'Stay young stay foolish But take ownership when u f ck up don t complain and never give up resilience apple'
google,neutral,'quick hands on Galaxy Nexus by Samsung google android ICS 4 icecreamsandwich http t co 22cF2m6d'
microsoft,negative,'http t co zBLtZ5MW German Federal Trojan s got a BigBrother Gov spying on its people Microsoft s 32bit 64bit Windows is target'
apple,positive,'Apple Safari Reader owns the worldwide web'
google,neutral,'Sdk available now so you can develop apps for the phone and tablets right now Android4 0 Google'
microsoft,neutral,'RT FierceWireless Microsoft s Ballmer promises Nokia Windows phones next week slams Android http t co OH8Btu2e WP7 Window'
google,irrelevant,'Phone 19 http t co SFBLWqjg LK154 Google Samsung Galaxy Nexus http t co MyIcSKXW ICS'
google,negative,'Ouch crash and burn Android facial recognition in IceCreamSandwich didn t work during the presentation http t co 6vsasZyT Google'
twitter,neutral,'RT zZzZzZzZzZzZzZzZzZzZ Twitter off'
twitter,neutral,'RT elishiawindfohr Twitter Each second there are 2900 new tweets for a total of 250 million per day and 7 5 billion per month Rate'
twitter,neutral,'Twitter Im coming home Im coming home tell the world that Im coming home lls'
google,irrelevant,'rmeneghelo Google ainda te ama apesar de tudo IUEHAIUAHEIUHAEIUH P corre o ainda te AMO'
google,irrelevant,'csportsmn android ios pulse google galaxy fringe ajildavna nexus ics'
twitter,neutral,'Ohemgee Be a follower twitter'
twitter,irrelevant,'Yesenia Rivero puxi losiento deverdad q toy medio alejadoo de twitter pero pronto estare al dia cuidate muxo besitos a distancia bay'
apple,negative,'why the fuck dose my phone decide its just ganna freeze every time i try to update it so fucking sick of apple'
microsoft,neutral,'Microsoft Pushing out Mango to more Windows Phones http t co xPIaZ8Xp wp7 orange samsung lg optimus7 htc dell msft'
microsoft,irrelevant,'Avec OmniTouch faites de n importe quelle surface un cran tactile http t co kBP15kTt Microsoft OmniTouch'
microsoft,irrelevant,'RT arelance Microsoft presenta un prototipo que permite utilizar la mano como interfaz http t co kaCzpMYo Kinect in fb'
apple,neutral,'apple so why is the ios support for 2nd gen ipods discontinued It is only 3 years old Give us an ios update please'
twitter,irrelevant,'Hasta el queque de tarea pero heme aqui en twitter y FB jijijiji ya falta menos para terminar thanksGod'
twitter,irrelevant,'IsabelSalazarJ PremiosTWCo y en el HT Twitter eres tambn cabeza con 44 votos Isa tienes lo votos regados con HT yovotopor tienes 1'
apple,negative,'It took apple about 7 years just to figure out how to properly syncronize an iPhone WOW ios5'
google,neutral,'Unwrapping Ice Cream Sandwich on the Galaxy Nexus http t co QoXd3I0s google'
google,neutral,'Texas Instruments confirms Galaxy Nexus has newer OMAP4460 processor http t co wqQV4lyu google googlenexus'
twitter,neutral,'Followme dijo Twitter D'
microsoft,positive,'Awesome Microsoft holodeck bit ly qpGxle'
twitter,neutral,'I really dnt like to follow people who never on twitter'
google,irrelevant,'Mukesh Ambani MukeshAmbani Mukesh Ambani http t co uMBGXvQI google youtube'
microsoft,irrelevant,'RT AlbertLorente En Espa a se pasa m s tiempo en sites de Microsoft que en Facebook y en sites de Google http t co cjNWU8rv'
microsoft,irrelevant,'Reflex Online is nu ook beschikbaar op Microsoft Marketplace Meer hierover op ons blog http t co OZkelPhS'
apple,negative,'Apple would do better to inform customers properly about migrating to iCloud many complaints lead to image damage http t co QL7zmPpO'
google,neutral,'Samsung Galaxy Nexus smartphone Android 4 0 Ice Cream Sandwich unveiled by Google http t co nds5B4ej BT'
google,neutral,'What does it take to get a job at Google recruiting http t co eVjiH7oD'
microsoft,neutral,'Reviora can host Microsoft Dynamics SL MSDYNERP http t co WFoopX1Y'
microsoft,neutral,'Microsoft Cloud windows server RT WesleyBackelant Announcing the Microsoft WindowsAzure Wesle http t co NaPViOT8 TCN'
apple,positive,'I just realized that the reason I got into twitter was ios5 thanks apple'
google,irrelevant,'RT twandroid SDK dispo aujourd hui google nexusprime'
google,neutral,'Android 4 0 OS Ice Cream Sandwich and the Galaxy Nexus is out seems that smartphones are named by hungry developers Google'
microsoft,neutral,'Microsoft s First Global Multi Product Holiday Campaign http t co 6nUFdiBN'
microsoft,neutral,'thinking thinking thinking thinking dotnet asp microsoft'
google,neutral,'Is Google Flight Search a threat to the OTA and travel Meta Search market in India Check http t co RuhglJMt News'
microsoft,negative,'Comp crash Microsoft Wouldn t get this with an iMac'
twitter,neutral,'iTaylor Simpson u post on twitter to much like ery 5 sec Damn'
twitter,positive,'TheMarketaire This whole Facebook change makes more nervous than excited What about privacy etc I much prefer Twitter'
apple,neutral,'Win an Apple iPod Touch from Mommy gaga get the Pampers Hello World Baby Memories App http t co I6woujUh PampersHelloApps'
google,positive,'Cream on the inside clean on the outside Ice Cream phone job Google'
twitter,neutral,'Got to do it RT ElderMLTillerJr I am cracking up at BishopWSThomas advertising for Twitter LOL'
google,neutral,'Android Google Samsung Galaxy Nexus release details still in short supply http t co s6A7Y9WT DhilipSiva'
apple,neutral,'Bestbuy or Apple to purchase my imac iPad and printer StudentDiscounts'
apple,negative,'Looks like Apple did not appropriately project the resources needed for Siri Not very reliable'
google,neutral,'Engadget following android galaxy nexus event google samsung ICS http t co vZx25ht8'
microsoft,neutral,'Microsoft CEO on Android You Have to Be a Computer Scientist to Use It huffington post http t co 7PDBvauM tech mobile'
microsoft,irrelevant,'TypeBuilder be gone Roslyn CTP is here Creating types without TypeBuilder http t co cilZFP9B Roslyn Microsoft'
microsoft,irrelevant,'Microsoft Security Essential 1 115 102 0 gt http t co QuqPibic Microsoft'
twitter,irrelevant,'Agora vou tentar dormi Game Over Twitter Facebook'
apple,neutral,'In case you were curious like me IPhone 4S Which Apple iPhone is Best for Price Features http t co d1LonCzc Apple HealthIT EHR'
google,positive,'Thanks to Samsung and Google I m now craving for some Ice Cream Sandwich IceCreamSandwich Google Samsung'
microsoft,neutral,'Rumor New screen sizes specs coming to Windows Phones windowsphone microsoft http t co gOQgJvvb microsoft'
twitter,irrelevant,'Buenas noches twitter friends Me despido q me voy a poner hacer mi tarea de acct q flojera Pero no se me permite fail any classes'
twitter,neutral,'Put your twitter on autopilot and let it gain followers for you http t co hze1TqAl TeamFollowBack Twitter autopilot 1000aday 25'
apple,negative,'trisha ps iCloud is Cloudy apple tech not very techy'
apple,neutral,'Can this ho Siri update your tweets cc apple iPhone News'
twitter,neutral,'RT Jackiebaaby s are for twitter NOT facebook Duuuuhhh'
twitter,neutral,'Just because you follow me on twitter does NOT mean we cool As you can see I didnt follow yo thirsty ass back dummy xD'
microsoft,negative,'Microsoft We put the backwards into backwards compatibility instantfollowback'
microsoft,neutral,'Check out our podacst regarding Sugar s Edge In Tems Of Database Structure http t co Qv4DAw7A Microsoft CRM'
google,irrelevant,'AsiaClassifiedToday Temasek to raise up to 800 million with bond offer Straits Times Tele http t co IaTj4kb9 asia google biz'
apple,neutral,'SteveJobs Twitter overwhelmed by reaction to Apple founder s death Telegraph http t co tqF6pjf5'
microsoft,neutral,'Microsoft Cloud Microsoft launches Virtual Academy in Kenya Microsoft East and Southern Africa launched http t co GllUQiTJ TCN'
google,negative,'I hate tron theme Google ICS'
google,irrelevant,'AsiaClassifiedToday Asia Stocks Ringgit Gain on European Outlook Bloomberg Asia Stocks R http t co biHKwSTW asia google biz'
twitter,neutral,'RT MonicaaC Damn tired Need some rest Night twitter'
google,neutral,'goodtoknow privacy google http t co Ye337YR6'
apple,neutral,'I wonder If the person who has apple is holding out for apple to buy it from them'
apple,neutral,'ok it is back iphone apple'
microsoft,irrelevant,'RT puntogeek Hace tiempo Seg n Microsoft Firefox es spyware http t co UnFkqPaJ Firefox Microsoft'
microsoft,irrelevant,'seit apple facebook und google die gro en b sen sind ist microsoft irgendwie wieder der sympathische nerdverein http t co IUvizP0T'
google,positive,'Mmm SmarterPhone RT Android Introducing Ice Cream Sandwich the delicious new version of Android http t co AXl2K1Gs ICS google'
twitter,irrelevant,'hiarly iae meu brother min siga ae no twitter ta lembrado de min n'
microsoft,neutral,'RT AppSense Simon townsend Microsoft tests and proves AppSense enterprise scalability 78K users on one personalization DB http'
microsoft,neutral,'Microsoft Changes The Yet Known Design of Windows Eight http t co EGa3wrr4'
microsoft,irrelevant,'Grattis microsoft Jag m ste allts ta bort Helvetica om jag ska k ra IE9 och eller Outlook'
google,irrelevant,'Que mierda le pasa a FOTA que no me quiere traer IceCreamSandwich Google Android SamsungArg GalaxyS2'
twitter,irrelevant,'me re cop con twitter'
google,negative,'From it s laughable file google will encrypt search results BUT only if U have logged in so they can maximize their data collection'
twitter,neutral,'teggyboy00 oh wow lmao thank no wonder why no one answered me addicted twitter'
twitter,irrelevant,'Entre al Twitter solo para desahogarme B'
twitter,neutral,'SOLAR RhondaParsons SOLar sister A simpLe symboL and AN underscore This is twitter WHERE WE twEEt'
twitter,irrelevant,'deberia de ponerme a leer un libro en lugar de estar perdiendo el tiempo en fb y twitter'
google,irrelevant,'C est quand m me une conf rence o on n attend pas 1h30 pour avoir une nouveaut google nexusprime'
microsoft,irrelevant,'En full capacitaci n de soportes en Microsoft Advertising muy entretenida'
apple,negative,'Every time I try the voice control on my iPod Touch to send an iMessage it starts playing Who Knew by Pink Still not Flawless Apple'
twitter,neutral,'Thank you me too Looking forward to reviewing your book WarrenWhitlock twitter authors socialmedia'
microsoft,irrelevant,'At the Microsoft imaginecup sri lanka in Peradeniya'
microsoft,irrelevant,'RT RoodProjecten Leuk ik ontving net een mooi boeket bloemen thuis van Microsoft als dank voor mijn bijdrage en waardevolle input'
microsoft,neutral,'RT PacktEnterprise Book Published Microsoft SharePoint 2010 Power User Cookbook http t co A8ZqMpYP spmentor http t co v0mO0VkQ'
microsoft,irrelevant,'RT microsoftfrance Cette ann e encore Microsoft remporte le prix du meilleur Service Client 2012 http t co fMRd5g3s'
twitter,neutral,'search facebook for'
apple,neutral,'Apple fan Eric Holder spotted at the Genius Store http t co FTLttLPn'
google,positive,'New Galaxy Nexus OS Hardware Improvements Camera Zero Shutter Lag nexus samsung google android bit ly nEJbyE'
microsoft,neutral,'Club CALUMO was FUN See the vidio CALUMO Blog Denali Microsoft SQLServer http t co 8THqSRBd via calumo'
apple,neutral,'I hope apple will release an app for Siri for us non apple 4s users apple iphone siri'
apple,neutral,'I want Siri on my iPhone4 apple'
apple,positive,'rygurl you need an apple iphone4S with Siri'
google,irrelevant,'Possibilit de taguer les personnes google nexusprime'
apple,negative,'Never purchasing another item from apple'
google,irrelevant,'Lucha de Titanes Las tres mejores alternativas a Google Earth http t co 5X5pVRHr Linux via gabriel j gomez'
microsoft,irrelevant,'Estou com tanta d do windows phone CHUPA ESSA microsoft http t co jkGFN9rr trem lindo de deus android 4 0'
microsoft,irrelevant,'Job ICT Verkaufspezialist von Infrastrukturl sungen an Gesch ftskunden w m Microsoft Schweiz http t co admV6cNg Microsoft IT'
twitter,neutral,'If Mr A Johnson is up twitter is gona have some technical difficulties'
twitter,irrelevant,'De novo mais uma vez eu akie de madrugada falando sozinho no Twitter S'
google,neutral,'RT NeowinFeed Google shows off new Ice Cream Sandwich features google android http t co LlJpGM2a neowin'
apple,neutral,'The four American companies that have come to define 21st century on the verge of war Amazon Apple Facebook and G http t co PxUlr5dw'
twitter,neutral,'uberSocial on blackberry crackberry is better than the actual twitter site It s wack on the iphone CoolStoryBro'
microsoft,irrelevant,'estoy agradecido con Dios y con Microsoft por la oportunidad que me han dado de ser parte del grupo selecto de los msp Gracias Se or'
twitter,irrelevant,'el momento en el que me puedo desahogar si efectividamente es en twitter'
google,positive,'Calling all marketing executives in houston sign up for google training http t co vo542MrZ I can t wait to be there for the week'
apple,positive,'Apple s Siri is witchcraft What s next googleresearch 2 yr lead lost'
apple,neutral,'how do you sync gmail contacts with your iphone help please apple gmail'
apple,positive,'I love our apple imac even though I haven t seen my hubby in 3 days now geek'
apple,neutral,'apple store NY'
google,neutral,'Ha The demo fail is still resonating Kinda funny but on a global scale Cool feature though android google galaxynexus'
apple,positive,'iOS5 update submitted to apple Thanks for all the support'
microsoft,neutral,'RT InternetBH Microsoft finalises Skype deal IT Business News Features http t co F9b14RY3 http t co 275l0zay skype Micr'
twitter,irrelevant,'De verdd qe si me he sentidoo rara estar un Dia sin mucho twitter B'
google,irrelevant,'google facebook'
google,neutral,'google yahoo bing Ballmer on Bing Xbox Apple oh and Yahoo too http t co CfHu4jBP seo serps'
twitter,neutral,'RT callmePinoc RT Crazy Golfer If you lose followers on Twitter don t worry even Jesus lost followers Unknown quote via smqueue'
microsoft,neutral,'microsoft says android is too complex Interesting from a user angle contrast windows with macos for a comparison http goo gl Wu3Zm'
google,positive,'Google s Nexus really i wanna it now Awesome'
google,neutral,'What Is Ice Cream Sandwich http t co otA4rqi9 Google'
microsoft,positive,'Maybe apple could use some of it s billions to do some good in the world oh wait that s what microsoft does'
apple,negative,'on hold for another half hour phone is ringing but no one is picking up apple you stink'
apple,negative,'Pondering the iOS update From the sounds of MikeFerri s difficulties I may just hold off Apple FIX IT'
microsoft,irrelevant,'RT SociosMicrosoft Director de Microsoft admite que fue afortunado el escape de la compra de Yahoo http t co ZX3dLElI'
twitter,neutral,'gotta get back on my twitter grind'
twitter,irrelevant,'El live stream del server de IPN esta over capacity por SoytuFan mx no la caguen si no es twitter'
microsoft,neutral,'Microsoft launching the OmniTouch how funny I though that was an ALUEnterprise solution copyright http t co 5ExkV0L7 via l evenement'
apple,neutral,'You need to ask Siri her favorite color and the average speed of an unladen swallow Seems Someone apple is a Monty python fan'
google,neutral,'Android Google Samsung Galaxy Nexus launching in US Europe and Asia this November http t co NLdTU5oY DhilipSiva'
apple,irrelevant,'Apple erneut im Fadenkreuz Umweltverschmutzung Apple Zulieferer muss Produktion stoppen http t co aH9KgrLY'
twitter,neutral,'RT OKadeState Paigemorse1 tweeted Its official she is still alive Twitter'
twitter,irrelevant,'Ya el twitter como que me esta dejando de parecer divertido'
apple,positive,'It would have taken me 15 mins to write this with my Blackberry Thank u Apple 4s for converting me and showing me the grass is greener'
microsoft,neutral,'Windows 7 Roadmap Windows 8 Roadmap M3 final 6 1 6801 7 and 6 2 8102 8 Beta at CES O Microsoft'
microsoft,neutral,'Windows Phone firmware updates due next week to enable Internet Sharing http t co yPF60YEe microsoft windows'
microsoft,irrelevant,'Official plush Portal turrets deploying this December http t co M7h8Orkc mac microsoft pc playstation'
twitter,negative,'Retweets section of my twitter account has not been working for 17 hours Is Everyone else having this problem RT RTs'
google,irrelevant,'RT OliPalko RT ishpconsult Der langsame Tod von SEO Google Suche f r eingeloggte User verschl sselt http t co SSdxjoWd'
twitter,negative,'Im gonna need Twitter to get all these problems fixed ASAP'
microsoft,negative,'Reader Tronman compares SteveBallmer to an albatross around Microsoft s neck Do you agree Join the discussion http t co Mn39R2vc'
microsoft,positive,'Microsoft details Search improvements in Windows 8 Start Screen http t co f6AztiaD'
twitter,irrelevant,'Facebook ah quedado en el olvido gracias a Twitter'
google,neutral,'Android Google Samsung Galaxy Nexus Coming Soon To Three UK http t co FQbfdiYE DhilipSiva'
apple,positive,'My iPhone 4S battery lasted longer than a day That hasn t happened since my edge iPhone Nice job apple'
apple,neutral,'Wow Apple sold 4 million iPhone 4S in a single weekend http t co WDLHZsza'
google,irrelevant,'RT interfase Andy Rubin de Google devel oficialmente el Samsung GalaxyNexus el 1er smartphone con Android4 0 Ice Cream Sandwich h'
apple,irrelevant,'RT Leahjanell This Moment w Shyah DianiGroves is brought to you by NBA Apple Riesling oh and http t co Dp4XiDs2'
google,irrelevant,'Google sorprende de nuevo http t co G7iLQLME basedenegocios business'
google,irrelevant,'Le Galaxy Nexus officialis Samsung Google GalaxyNexus Icecream http t co YT2RWbgn via Julbut TweeqFr Thibaudd'
microsoft,irrelevant,'Techno Microsoft lanza sitio oficial de Skype http t co oQ2JbPS3'
microsoft,neutral,'TheZeroOfTime microsoft'
apple,neutral,'apple AppStore ihelpline when r u going to provide the ability to password protect iPad email'
apple,positive,'Once again getting great customer service from the apple store at millenia mall'
apple,irrelevant,'Kan Apple de tekstaanvulling op iphone en ipad niet omdraaien eigenteksteerst weetapplehetaltijdbeter'
twitter,negative,'Yep it s official my tweets that get RT d aren t showing me when they get RT d Dammit Twitter sometimes it s Love Hate thing we have'
apple,negative,'Total chaos at apple store regent street Like an Ethiopian feeding station Can t believe this is same co that makes all that cool shit'
twitter,neutral,'twitter is like therapy for sum people say wat you feel get alot off yo chest And don t care wat the next person say'
microsoft,neutral,'Microsoft opens the spigot Windows Phone Mango available to all microsoft windowsphone http t co e4LLmmyg'
twitter,neutral,'Good Night Twitter'
google,neutral,'All the info on Ice Cream Sandwich here http t co f0rNfGPA twandroid google nexusprime ics android'
google,irrelevant,'i nexus Named as One of The Telegraph s Top 1000 Free PR Site press release http t co J4AHo3Aa nexus one google'
twitter,irrelevant,'Ya Me voy Adios twitter por que esta muy Fome S'
google,irrelevant,'Use Caution When Sharing on Social Networks http t co SXNoBASn via LarryMagid youth facebook google'
twitter,neutral,'Is there a way that I can post voice notes on twitter'
twitter,neutral,'Follow your interests twitter'
twitter,irrelevant,'aai galeraa do twitter abra o para queem ficaa'
google,irrelevant,'Facebook Google Apps http t co PBi9Hog8 google googleapps'
twitter,irrelevant,'Se que en estos momentos transmiten soy tu fan cortes a de twitter y de aNgEluSrO'
twitter,neutral,'Twitter s Thinking About Paying People to Tweet Technology http t co zA9h5o5U PayMe Twitter'
microsoft,positive,'WP7 is getting there Microsoft Claws Back to Smartphone Relevance Rich Jaroslovsky Bloomberg http t co JIMML4RC via BloombergNews'
microsoft,neutral,'Ballmer Feels Lucky Microsoft Didn t Buy Yahoo in 2008 http t co mPZoilRs microsoft'
google,irrelevant,'4 http t co enpWtGb4 android android ar google samsung'
twitter,irrelevant,'troquei meu avatar do twitter rs'
twitter,irrelevant,'itiinha lais EvelynJullyanne segue de volta esse Twitter a gente ta fundando a Pastoral da Juventude e precisamos de ajuda Segue bj'
microsoft,irrelevant,'torbenleuschner die haben was an der Waffel ie microsoft wunschdenken'
microsoft,irrelevant,'yahoo microsoft Noticias Steve Ballmer da gracias al cielo porque Microsoft no compr Yahoo en 2008 http t co j7hKabZB'
microsoft,irrelevant,'Microsoft Please check out or site and join please http t co dRR4oq1Z we need more ppl maybe u can help'
google,neutral,'Android This Is the Samsung Galaxy Nexus Google s New Official Android Phone via Gizmodo The http t co wS4GS9uk'
twitter,neutral,'who follows ppl then unfollows them YourLameAsHell tryna make it seem like your somebody IMPORTANT it s only TWITTER smh'
apple,neutral,'iPhone 4S 8MP camera It s a SONY http t co 6uYIZeAK sony apple apple iphone4S cameras'
google,neutral,'Google releases the latest version of Android 4 0 IceCreamSandwich http t co fB7y5E1e'
microsoft,positive,'RT Logic2020 Why I love Microsoft gt Microsoft hosting Kids TechFest to encourage careers in tech http t co fmzFWgYv babygeeks'
apple,neutral,'SpeechTrans http t co TW3SzX61 on Apple App store listed as the best bi directional Speech To Speech Translator Posts on Twitter'
twitter,irrelevant,'RT JaylaStarr Sex Games http t co 5qtmLHJn JaylaStarr JCannonDSD sex Twitter video'
apple,neutral,'Siri is cool but more importantly handy and FUNNY Apple please configure it for Canada What s with the racism EH'
twitter,neutral,'GN Twitter z z z z z z Z Z z z z'
microsoft,neutral,'Leaving for smau I ll be at the Microsoft stand as a trainer for the wpdev labs Meet me there'
google,irrelevant,'RT twandroid Galaxy Nexus annonc nexusprime google http t co IrMPjoiS'
twitter,irrelevant,'Puta No se por que traje los cuadernos para estudiar a la cama si sigo en twitter OhShit T T'
microsoft,neutral,'Microsoft Stores offering a free Windows Phone with a 499 purchase http t co nfpvegDK wp7 windowsphone wp75 mango msft'
google,irrelevant,'Rocksmith Rocksmith Rocksmith http t co JNS1oEZN google youtube'
microsoft,irrelevant,'RT MichaelKroker Kroker s Look IT Der Apple Schock im PC Markt mit unerwartetem Potenzial f r Microsoft gt http t co 29vCUgQz'
